---,RecoilId,RecoilType,Single_HorizontalRecoils,Single_HorizontalRandomMin,Single_HorizontalRandomMax,Single_HorizontalScale,Single_VerticalRecoils,Single_VerticalRandomMin,Single_VerticalRandomMax,Single_VerticalScale,SingleOrBurstResetTimeTolerant,Continue_HorizontalRecoils,Continue_HorizontalRandomMin,Continue_HorizontalRandomMax,Continue_HorizontalScale,Continue_VerticalRecoils,Continue_VerticalRandomMin,Continue_VerticalRandomMax,Continue_VerticalScale,ContinueLoop_HorizontalRecoils,ContinueLoop_HorizontalRandomMin,ContinueLoop_HorizontalRandomMax,ContinueLoop_HorizontalScale,ContinueLoop_VerticalRecoils,ContinueLoop_VerticalRandomMin,ContinueLoop_VerticalRandomMax,ContinueLoop_VerticalScale,RecoilShakePitch_WholeAmplitude,RecoilShakePitch_Frequency,RecoilShakePitch_ShiftMin,RecoilShakePitch_ShiftMax,RecoilShakePitch_InFireDamping,RecoilShakePitch_Duration,RecoilShakeYaw_WholeAmplitude,RecoilShakeYaw_Frequency,RecoilShakeYaw_ShiftMin,RecoilShakeYaw_ShiftMax,RecoilShakeYaw_InFireDamping,RecoilShakeYaw_Duration,RecoilShakePitchWithCurve_WholeAmplitude,RecoilShakeYawWithCurve_WholeAmplitude,bUseManualCurveEffect,bLimitRecoilEaseTime,RecoilEaseTime,PitchEaseType,YawEaseType,SideAimingRecoilFactor_Horizontal,SideAimingRecoilFactor_Vertical,SideAimingRecoilShakeFactor_Horizontal,SideAimingRecoilShakeFactor_Vertical,bEnableSpringGunKick,SpringYawMin,SpringYawMax,SpringPitchMin,SpringPitchMax,SpringTime,SpringRatio,RecoverStartTime,RecoverSpringTime,RecoverSpringRatio
战斗步枪3-21,11211,WeaponRecoil_DFM,-0.756945,-0.2835,0.2835,1,3.03,-1.4175,1.4175,1,0,"-1.08135,-1.08135,2.1627,1.80225,1.4418,1.4418,1.4418,-1.80225,-1.80225,-1.29762,-1.29762,1.29762,1.29762,-1.29762,1.29762,1.29762,1.29762,-1.29762,-1.29762,-1.08135,-1.08135,2.1627,1.80225,1.4418,1.4418,1.4418,-1.80225,-1.80225,-1.29762,-1.29762,1.29762,1.29762,-1.29762,1.29762,1.29762,1.29762,-1.29762,-1.29762																																																				",-0.6,0.6,0.85,"3.8,5.40675,6.4881,5.7672,4.75794,4.75794,4.75794,6.63228,5.0463,3.6045,3.6045,3.6045,3.6045,5.0463,3.6045,3.6045,3.6045,5.0463,3.6045,3.8,5.40675,6.4881,5.7672,4.75794,4.75794,4.75794,6.63228,5.0463,3.6045,3.6045,3.6045,3.6045,5.0463,3.6045,3.6045,3.6045,5.0463,3.6045																		",-0.45,0.45,1.4,"1.62,1.62,1.62,1.62,-1.62,-1.62",-0.2,0.2,0.85,"5.4,4.05,4.05,4.05,5.4,4.05",-0.45,0.45,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.6,0.8,True,True,0.1026,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
战斗步枪2-1,11230,WeaponRecoil_DFM,1.071,-0.3213,0.3213,1,3.88,-1.4553,1.4553,1,0,"1.53,1.53,-2.97,-2.52,-1.98,-1.98,-1.98,2.52,2.52,1.8,1.8,-1.8,-1.8,1.8,-1.8,-1.8,-1.8,1.8,1.8",-0.2,0.2,1,"4.8,7.92,10.26,7.92,5.94,5.94,5.94,8.28,6.3,4.5,4.5,4.5,4.5,6.3,4.5,4.5,4.5,6.3,4.5",-0.5,0.5,1.3,"-1.8,-1.8,-1.8,-1.8,1.8,1.8",-0.2,0.2,1,"6.3,4.5,4.5,4.5,6.3,4.5",-0.5,0.5,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.1126,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
战斗步枪2-11,11231,WeaponRecoil_DFM,1.071,-0.3213,0.3213,1,3.88,-1.4553,1.4553,1,0,"1.53,1.53,-2.97,-2.52,-1.98,-1.98,-1.98,2.52,2.52,1.8,1.8,-1.8,-1.8,1.8,-1.8,-1.8,-1.8,1.8,1.8",-0.2,0.2,0.8,"4.2,7.92,10.26,7.92,5.94,5.94,5.94,8.28,6.3,4.5,4.5,4.5,4.5,6.3,4.5,4.5,4.5,6.3,4.5",-0.5,0.5,1,"-1.8,-1.8,-1.8,-1.8,1.8,1.8",-0.2,0.2,0.8,"6.3,4.5,4.5,4.5,6.3,4.5",-0.5,0.5,0.8,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.1126,EaseOutExpo,EaseOutExpo,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪4-1,12030,WeaponRecoil_DFM,1.953,-0.5022,0.5022,1,4.403,-0.666,0.666,1,0,"2.79,-2.27,1.58,-1.91,-2.23,-2.06,-2.04,1.69,1.54,0.82,1.67,0.9,1.86,0.98,1.54,1.41,1.39,1.36,-0.66,-2.16,-0.63,-2.42,-0.69,-2.44,0.4,0.37,0.27,0.48,-2.16",-0.2,0.2,1,"6.29,5.117,6.069,5.151,4.981,4.998,5.117,3.961,4.59,2.159,1.445,2.448,5.083,2.584,1.292,2.159,4.335,1.377,4.59,1.258,4.607,1.666,4.692,2.38,2.227,1.938,1.921,2.363,1.377																													",-0.2,0.2,1.2,"2.79,-2.27,1.58,-1.91,-2.23,-2.06,-2.04,1.69,1.54,0.82,1.67,0.9,1.86,0.98,1.54,1.41,1.39,1.36,-0.66,-2.16,-0.63,-2.42,-0.69,-2.44,0.4,0.37,0.27,0.48,-2.16",-0.2,0.2,1,"6.29,5.117,6.069,5.151,4.981,4.998,5.117,3.961,4.59,2.159,1.445,2.448,5.083,2.584,1.292,2.159,4.335,1.377,4.59,1.258,4.607,1.666,4.692,2.38,2.227,1.938,1.921,2.363,1.377																													",-0.2,0.2,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.055,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪4-12,12031,WeaponRecoil_DFM,1.953,-0.5022,0.5022,1,4.403,-0.666,0.666,1,0,"2.79,-2.27,1.58,-1.91,-2.23,-2.06,-2.04,1.69,1.54,0.82,1.67,0.9,1.86,0.98,1.54,1.41,1.39,1.36,-0.66,-2.16,-0.63,-2.42,-0.69,-2.44,0.4,0.37,0.27,0.48,-2.16																													",-0.2,0.2,1.25,"6.29,5.117,6.069,5.151,4.981,4.998,5.117,3.961,4.59,2.159,1.445,2.448,5.083,2.584,1.292,2.159,4.335,1.377,4.59,1.258,4.607,1.666,4.692,2.38,2.227,1.938,1.921,2.363,1.377																													",-0.2,0.2,1.25,"2.79,-2.27,1.58,-1.91,-2.23,-2.06,-2.04,1.69,1.54,0.82,1.67,0.9,1.86,0.98,1.54,1.41,1.39,1.36,-0.66,-2.16,-0.63,-2.42,-0.69,-2.44,0.4,0.37,0.27,0.48,-2.16",-0.2,0.2,1.25,"6.29,5.117,6.069,5.151,4.981,4.998,5.117,3.961,4.59,2.159,1.445,2.448,5.083,2.584,1.292,2.159,4.335,1.377,4.59,1.258,4.607,1.666,4.692,2.38,2.227,1.938,1.921,2.363,1.377																													",-0.2,0.2,1.25,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.6,0.8,True,True,0.055,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪3-1,12020,WeaponRecoil_DFM,0,0,0,1,2.22,-0.5724,0.5724,1,0,"0,2.11,2.11,-1.91,-1.98,-1.9,-1.62,1.54,0.59,2.45,1.59,1.44,-1.3,-1.07,-1.12,-1.03,1.2,1.37,1.08,1.18,1.28,1.4,1.19,1.4,-1.4,-0.96,-0.95,-1.01,0.92,0.92,1.05,1.34,-0.99,-0.91,-1.13,-0.91,0.91,1.06,0.84,0.92,1.27,0.99,1.28,-1.16,-1.15,-1.13,-1.19,-1.26,-1.03",-0.2,0.2,1,"3.18,4.93,4.44,3.62,3.59,3.49,3.25,2.97,1.73,1.87,2.78,2.36,2.94,2.9,3.62,3.24,2.72,2.47,2.63,2.21,2.18,2.32,2.09,2.18,2.58,2.06,2.49,2.58,2.22,2.17,2.57,2.58,2.58,2.67,3.14,2.95,2.47,2.42,2.01,1.6,1.55,1.92,1.89,2.69,2.43,2.35,1.83,1.63,1.37",-0.4,0.4,1.5,"0,2.11,2.11,-1.91,-1.98,-1.9,-1.62,1.54,0.59,2.45,1.59,1.44,-1.3,-1.07,-1.12,-1.03,1.2,1.37,1.08,1.18,1.28,1.4,1.19,1.4,-1.4,-0.96,-0.95,-1.01,0.92,0.92,1.05,1.34,-0.99,-0.91,-1.13,-0.91,0.91,1.06,0.84,0.92,1.27,0.99,1.28,-1.16,-1.15,-1.13,-1.19,-1.26,-1.03",-0.2,0.2,1,"3.18,4.93,4.44,3.62,3.59,3.49,3.25,2.97,1.73,1.87,2.78,2.36,2.94,2.9,3.62,3.24,2.72,2.47,2.63,2.21,2.18,2.32,2.09,2.18,2.58,2.06,2.49,2.58,2.22,2.17,2.57,2.58,2.58,2.67,3.14,2.95,2.47,2.42,2.01,1.6,1.55,1.92,1.89,2.69,2.43,2.35,1.83,1.63,1.37",-0.4,0.4,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0668,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪3-12,12021,WeaponRecoil_DFM,0,0,0,1.978758,2.22,-0.5724,0.5724,1,0,"0,2.11,2.11,-1.91,-1.98,-1.9,-1.62,1.54,0.59,2.45,1.59,1.44,-1.3,-1.07,-1.12,-1.03,1.2,1.37,1.08,1.18,1.28,1.4,1.19,1.4,-1.4,-0.96,-0.95,-1.01,0.92,0.92,1.05,1.34,-0.99,-0.91,-1.13,-0.91,0.91,1.06,0.84,0.92,1.27,0.99,1.28,-1.16,-1.15,-1.13,-1.19,-1.26,-1.03",-0.2,0.2,1.5,"3.18,4.93,4.44,3.62,3.59,3.49,3.25,2.97,1.73,1.87,2.78,2.36,2.94,2.9,3.62,3.24,2.72,2.47,2.63,2.21,2.18,2.32,2.09,2.18,2.58,2.06,2.49,2.58,2.22,2.17,2.57,2.58,2.58,2.67,3.14,2.95,2.47,2.42,2.01,1.6,1.55,1.92,1.89,2.69,2.43,2.35,1.83,1.63,1.37",-0.4,0.4,1.5,"0,2.11,2.11,-1.91,-1.98,-1.9,-1.62,1.54,0.59,2.45,1.59,1.44,-1.3,-1.07,-1.12,-1.03,1.2,1.37,1.08,1.18,1.28,1.4,1.19,1.4,-1.4,-0.96,-0.95,-1.01,0.92,0.92,1.05,1.34,-0.99,-0.91,-1.13,-0.91,0.91,1.06,0.84,0.92,1.27,0.99,1.28,-1.16,-1.15,-1.13,-1.19,-1.26,-1.03",-0.2,0.2,1.3,"3.18,4.93,4.44,3.62,3.59,3.49,3.25,2.97,1.73,1.87,2.78,2.36,2.94,2.9,3.62,3.24,2.72,2.47,2.63,2.21,2.18,2.32,2.09,2.18,2.58,2.06,2.49,2.58,2.22,2.17,2.57,2.58,2.58,2.67,3.14,2.95,2.47,2.42,2.01,1.6,1.55,1.92,1.89,2.69,2.43,2.35,1.83,1.63,1.37",-0.4,0.4,1.5,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0668,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪3-2,12060,WeaponRecoil_DFM,0.4284,-0.1,0.1,1,2.268,-0.48,0.48,1,0,"0.612,0.756,0.492,-0.804,-1.098,-1.236,-1.308,1.518,0.672,1.428,1.032,1.83,0.768,1.668,2.814,2.586,1.314,-0.72,0.75,-0.702,0.876,-0.594,0.984,-1.602,0.696,1.566,1.026,0.678,0.768																													",-0.2,0.2,1,"3.24,3.084,3.204,3.012,3.048,3.024,3.03,2.73,3.246,2.298,3.198,2.838,3.294,3.018,2.772,2.904,3.702,3.768,3.168,3.474,3.3,3.306,2.994,3.33,3.342,3.018,3.078,2.994,2.904																													",-0.4,0.4,1.5,"1.22,1.1,1.71,1.13,1.28",-0.2,0.2,1,"3.35,3.65,3.13,3.99,3.84",-0.4,0.4,1,1,0.5,0,0,0,0,1,1,0.6,0.75,0,0,0.8,0.8,True,True,0.0992,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪3-21,12061,WeaponRecoil_DFM,0.4284,-0.1,0.1,1,2.268,-0.48,0.48,1,0,"0.612,0.756,0.492,-0.804,-1.098,-1.236,-1.308,1.518,0.672,1.428,1.032,1.83,0.768,1.668,2.814,2.586,1.314,-0.72,0.75,-0.702,0.876,-0.594,0.984,-1.602,0.696,1.566,1.026,0.678,0.768																													",-0.2,0.2,1,"3.24,3.084,3.204,3.012,3.048,3.024,3.03,2.73,3.246,2.298,3.198,2.838,3.294,3.018,2.772,2.904,3.702,3.768,3.168,3.474,3.3,3.306,2.994,3.33,3.342,3.018,3.078,2.994,2.904																													",-0.4,0.4,1.7,"1.22,1.1,1.71,1.13,1.28",-0.2,0.2,1,"3.35,3.65,3.13,3.99,3.84",-0.4,0.4,1.15,1,0.5,0,0,0,0,1,1,0.6,0.75,0,0,0.6,0.8,True,True,0.0992,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪3-3,12080,WeaponRecoil_DFM,2.45,-0.735,0.735,1,3.262,-0.9,0.9,1,0,"-3.52,2.86,-1.99,1.74,3.07,1.62,3.72,-1.89,-1.94,-1.55,-2.08,-1.63,-1.86,-1.53,-1.75,-1.97,-1.97,-1.6,0.83,2.72,0.79,3.06,0.86,3.09,-1.44,-0.45,0.77,-1.2,1.26",-0.2,0.2,1,"4.66,3.79,4.51,3.89,3.52,3.83,3.75,2.98,3.39,1.61,1.07,1.82,3.78,1.91,0.95,1.6,3.22,1.02,3.41,0.93,3.43,1.23,3.48,2.76,2.68,2.44,2.57,2.68,2.98",-0.3,0.3,1.5,"-3.52,2.86,-1.99,1.74,3.07,1.62,3.72,-1.89,-1.94,-1.55,-2.08,-1.63,-1.86,-1.53,-1.75,-1.97,-1.97,-1.6,0.83,2.72,0.79,3.06,0.86,3.09,-1.44,-0.45,0.77,-1.2,1.26",-0.2,0.2,1,"4.66,3.79,4.51,3.89,3.52,3.83,3.75,2.98,3.39,1.61,1.07,1.82,3.78,1.91,0.95,1.6,3.22,1.02,3.41,0.93,3.43,1.23,3.48,2.76,2.68,2.44,2.57,2.68,2.98",-0.3,0.3,1,1,0.5,0.3,0.4,8,0,1,1,0,0.5,8,0,0.8,0.8,True,True,0.0803,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪3-31,12081,WeaponRecoil_DFM,2.45,-0.735,0.735,1,3.262,-0.9,0.9,1,0,"-3.52,2.86,-1.99,1.74,3.07,1.62,3.72,-1.89,-1.94,-1.55,-2.08,-1.63,-1.86,-1.53,-1.75,-1.97,-1.97,-1.6,0.83,2.72,0.79,3.06,0.86,3.09,-1.44,-0.45,0.77,-1.2,1.26",-0.2,0.2,0.7,"4.66,3.79,4.51,3.89,3.52,3.83,3.75,2.98,3.39,1.61,1.07,1.82,3.78,1.91,0.95,1.6,3.22,1.02,3.41,0.93,3.43,1.23,3.48,2.76,2.68,2.44,2.57,2.68,2.98",-0.3,0.3,1.2,"-3.52,2.86,-1.99,1.74,3.07,1.62,3.72,-1.89,-1.94,-1.55,-2.08,-1.63,-1.86,-1.53,-1.75,-1.97,-1.97,-1.6,0.83,2.72,0.79,3.06,0.86,3.09,-1.44,-0.45,0.77,-1.2,1.26",-0.2,0.2,0.9,"4.66,3.79,4.51,3.89,3.52,3.83,3.75,2.98,3.39,1.61,1.07,1.82,3.78,1.91,0.95,1.6,3.22,1.02,3.41,0.93,3.43,1.23,3.48,2.76,2.68,2.44,2.57,2.68,2.98",-0.3,0.3,0.8,1,0.5,0.3,0.4,8,0,1,1,0,0.5,8,0,0.8,0.8,True,True,0.0803,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪2-11,12010,WeaponRecoil_DFM,0,0,0,1,2.597,-0.6678,0.6678,1,0,"0,3.34,1.24,-0.57,-0.56,-0.56,-1.39,-1.18,-0.61,2.98,1.94,1.93,0.82,0.92,1.65,-1.41,-1.52,-1.53,-2.08,1.76,1.63,-1.5,0.65,0.85,0.86,0.84,-0.84,-0.86,-0.85",-0.2,0.2,0.75,"3.71,4.25,6.34,4.22,4.27,3.43,2,3.28,1.84,3.52,3.21,3.07,1.67,1.72,3.51,5.28,2.24,1.95,3.13,3.18,1.94,3.52,2.44,2.54,2.82,3.06,3.04,3.05,2.9",-0.4,0.4,1,"0.65,0.85,0.86,0.84,-0.84,-0.86,-0.85",-0.2,0.2,1,"2.44,2.54,2.82,3.06,3.04,3.05,2.9",-0.3,0.3,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0732,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪2-1,12011,WeaponRecoil_DFM,0,0,0,1,2.597,-0.6678,0.6678,1,0,"0,3.34,1.24,-0.57,-0.56,-0.56,-1.39,-1.18,-0.61,2.98,1.94,1.93,0.82,0.92,1.65,-1.41,-1.52,-1.53,-2.08,1.76,1.63,-1.5,0.65,0.85,0.86,0.84,-0.84,-0.86,-0.85",-0.2,0.2,0.6,"3.71,4.25,6.34,4.22,4.27,3.43,2,3.28,1.84,3.52,3.21,3.07,1.67,1.72,3.51,5.28,2.24,1.95,3.13,3.18,1.94,3.52,2.44,2.54,2.82,3.06,3.04,3.05,2.9",-0.4,0.4,1,"0.65,0.85,0.86,0.84,-0.84,-0.86,-0.85",-0.2,0.2,0.6,"2.44,2.54,2.82,3.06,3.04,3.05,2.9",-0.3,0.3,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.6,0.6,True,True,0.0732,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪1-11,12040,WeaponRecoil_DFM,-0.889,-0.2286,0.2286,1,2.464,-0.6336,0.6336,1,0,"1.27,0.51,-1.52,-1.28,-2.3,-0.9,-1.61,-0.12,0.4,2.14,2.34,0.19,1.52,-1.01,1.51,-1.01,-1.52,-0.86,-2.02,-0.96,-1.15,-1.31,1.37,-1.09,1.29,-1.32,1.39",-0.2,0.2,1,"4.56,3.8,4.93,3.56,2.46,3.96,2.03,5.31,4.06,2.03,2.57,4.01,3.55,3.55,3.04,3.04,2.54,3.37,2.37,2.86,2.75,2.29,2.56,2.48,2.54,2.69,3.07",-0.4,0.4,1.5,"-1.31,1.37,-1.09,1.29,-1.32,1.39",-0.2,0.2,1,"2.29,2.56,2.48,2.54,2.69,3.07",-0.4,0.4,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0769,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
冲锋枪1-1,12041,WeaponRecoil_DFM,-0.889,-0.2286,0.2286,1,2.464,-0.6336,0.6336,1,0,"-1.27,1.27,1.27,0.51,-1.52,-1.28,-2.3,-0.9,-1.61,-0.12,0.4,2.14,2.34,0.19,1.52,-1.01,1.51,-1.01,-1.52,-0.86,-2.02,-0.96,-1.15,-1.31,1.37,-1.09,1.29,-1.32,1.39",-0.2,0.2,1.2,"3.52,3.52,4.56,3.8,4.93,3.56,2.46,3.96,2.03,5.31,4.06,2.03,2.57,4.01,3.55,3.55,3.04,3.04,2.54,3.37,2.37,2.86,2.75,2.29,2.56,2.48,2.54,2.69,3.07",-0.4,0.4,1,"-1.31,1.37,-1.09,1.29,-1.32,1.39",-0.2,0.2,1,"2.29,2.56,2.48,2.54,2.69,3.07",-0.4,0.4,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0769,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
【正式武器】冲锋枪4-2-1,12100,WeaponRecoil_DFM,0,0,0,1,2.22,-0.5724,0.5724,1,0,"0,2.11,2.11,-1.91,-1.98,-1.9,-1.62,1.54,0.59,2.45,1.59,1.44,-1.3,-1.07,-1.12,-1.03,1.2,1.37,1.08,1.18,1.28,1.4,1.19,1.4,-1.4,-0.96,-0.95,-1.01,0.92,0.92,1.05,1.34,-0.99,-0.91,-1.13,-0.91,0.91,1.06,0.84,0.92,1.27,0.99,1.28,-1.16,-1.15,-1.13,-1.19,-1.26,-1.03",-0.2,0.2,1,"3.18,4.93,4.44,3.62,3.59,3.49,3.25,2.97,1.73,1.87,2.78,2.36,2.94,2.9,3.62,3.24,2.72,2.47,2.63,2.21,2.18,2.32,2.09,2.18,2.58,2.06,2.49,2.58,2.22,2.17,2.57,2.58,2.58,2.67,3.14,2.95,2.47,2.42,2.01,1.6,1.55,1.92,1.89,2.69,2.43,2.35,1.83,1.63,1.37",-0.4,0.4,1.5,"0,2.11,2.11,-1.91,-1.98,-1.9,-1.62,1.54,0.59,2.45,1.59,1.44,-1.3,-1.07,-1.12,-1.03,1.2,1.37,1.08,1.18,1.28,1.4,1.19,1.4,-1.4,-0.96,-0.95,-1.01,0.92,0.92,1.05,1.34,-0.99,-0.91,-1.13,-0.91,0.91,1.06,0.84,0.92,1.27,0.99,1.28,-1.16,-1.15,-1.13,-1.19,-1.26,-1.03",-0.2,0.2,1,"3.18,4.93,4.44,3.62,3.59,3.49,3.25,2.97,1.73,1.87,2.78,2.36,2.94,2.9,3.62,3.24,2.72,2.47,2.63,2.21,2.18,2.32,2.09,2.18,2.58,2.06,2.49,2.58,2.22,2.17,2.57,2.58,2.58,2.67,3.14,2.95,2.47,2.42,2.01,1.6,1.55,1.92,1.89,2.69,2.43,2.35,1.83,1.63,1.37",-0.4,0.4,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0668,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
【正式武器】冲锋枪4-2-2,12101,WeaponRecoil_DFM,0,0,0,1.978758,2.22,-0.5724,0.5724,1,0,"0,2.11,2.11,-1.91,-1.98,-1.9,-1.62,1.54,0.59,2.45,1.59,1.44,-1.3,-1.07,-1.12,-1.03,1.2,1.37,1.08,1.18,1.28,1.4,1.19,1.4,-1.4,-0.96,-0.95,-1.01,0.92,0.92,1.05,1.34,-0.99,-0.91,-1.13,-0.91,0.91,1.06,0.84,0.92,1.27,0.99,1.28,-1.16,-1.15,-1.13,-1.19,-1.26,-1.03",-0.2,0.2,1.2,"3.18,4.93,4.44,3.62,3.59,3.49,3.25,2.97,1.73,1.87,2.78,2.36,2.94,2.9,3.62,3.24,2.72,2.47,2.63,2.21,2.18,2.32,2.09,2.18,2.58,2.06,2.49,2.58,2.22,2.17,2.57,2.58,2.58,2.67,3.14,2.95,2.47,2.42,2.01,1.6,1.55,1.92,1.89,2.69,2.43,2.35,1.83,1.63,1.37",-0.4,0.4,1.4,"0,2.11,2.11,-1.91,-1.98,-1.9,-1.62,1.54,0.59,2.45,1.59,1.44,-1.3,-1.07,-1.12,-1.03,1.2,1.37,1.08,1.18,1.28,1.4,1.19,1.4,-1.4,-0.96,-0.95,-1.01,0.92,0.92,1.05,1.34,-0.99,-0.91,-1.13,-0.91,0.91,1.06,0.84,0.92,1.27,0.99,1.28,-1.16,-1.15,-1.13,-1.19,-1.26,-1.03",-0.2,0.2,1.2,"3.18,4.93,4.44,3.62,3.59,3.49,3.25,2.97,1.73,1.87,2.78,2.36,2.94,2.9,3.62,3.24,2.72,2.47,2.63,2.21,2.18,2.32,2.09,2.18,2.58,2.06,2.49,2.58,2.22,2.17,2.57,2.58,2.58,2.67,3.14,2.95,2.47,2.42,2.01,1.6,1.55,1.92,1.89,2.69,2.43,2.35,1.83,1.63,1.37",-0.4,0.4,1.4,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0668,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
【正式武器】冲锋枪4-3-3,121001,WeaponRecoil_DFM,0,0,0,1,2.22,-0.5724,0.5724,1,0,"0,2.11,2.11,-1.91,-1.98,-1.9,-1.62,1.54,0.59,2.45,1.59,1.44,-1.3,-1.07,-1.12,-1.03,1.2,1.37,1.08,1.18,1.28,1.4,1.19,1.4,-1.4,-0.96,-0.95,-1.01,0.92,0.92,1.05,1.34,-0.99,-0.91,-1.13,-0.91,0.91,1.06,0.84,0.92,1.27,0.99,1.28,-1.16,-1.15,-1.13,-1.19,-1.26,-1.03",-0.2,0.2,1,"3.18,4.93,4.44,3.62,3.59,3.49,3.25,2.97,1.73,1.87,2.78,2.36,2.94,2.9,3.62,3.24,2.72,2.47,2.63,2.21,2.18,2.32,2.09,2.18,2.58,2.06,2.49,2.58,2.22,2.17,2.57,2.58,2.58,2.67,3.14,2.95,2.47,2.42,2.01,1.6,1.55,1.92,1.89,2.69,2.43,2.35,1.83,1.63,1.37",-0.4,0.4,1.5,"0,2.11,2.11,-1.91,-1.98,-1.9,-1.62,1.54,0.59,2.45,1.59,1.44,-1.3,-1.07,-1.12,-1.03,1.2,1.37,1.08,1.18,1.28,1.4,1.19,1.4,-1.4,-0.96,-0.95,-1.01,0.92,0.92,1.05,1.34,-0.99,-0.91,-1.13,-0.91,0.91,1.06,0.84,0.92,1.27,0.99,1.28,-1.16,-1.15,-1.13,-1.19,-1.26,-1.03",-0.2,0.2,1,"3.18,4.93,4.44,3.62,3.59,3.49,3.25,2.97,1.73,1.87,2.78,2.36,2.94,2.9,3.62,3.24,2.72,2.47,2.63,2.21,2.18,2.32,2.09,2.18,2.58,2.06,2.49,2.58,2.22,2.17,2.57,2.58,2.58,2.67,3.14,2.95,2.47,2.42,2.01,1.6,1.55,1.92,1.89,2.69,2.43,2.35,1.83,1.63,1.37",-0.4,0.4,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0668,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
