---,SpreadId,AreaType,AreaSize,SpreadMax,SpreadMaxFinal,bLimitSpreadRecoverSpeed,SpreadRecoverSpeed,ModifierEnableAtShootNum,ModifierEnableAtShootNumCDSeconds,FireSpreadRecoverSpeed,FireSpreadFactor,LuaDisplaySpreadFactor,LuaDisplaySpreadUIFactor
92,16100,Oval,"(2,2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
28,11220,Oval,"(1,1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
29,11221,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
93,16101,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
96,16120,Oval,"(4,4)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
97,16121,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
98,17010,Oval,"(3,2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
99,17011,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
84,16010,Oval,"(7.2,7.2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
85,16011,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
110,17070,Oval,"(0.7,0.7)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
111,17071,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
112,17080,Oval,"(2.11,2.11)","(X=5.275,Y=5.275)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
113,17081,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
114,17090,Oval,"(1,1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
115,17091,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
116,18010,Oval,"(3,3)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
117,18011,Oval,"(1,1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
118,18020,Oval,"(2,2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
119,18021,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
120,15015,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",2,1,"(X=0.000,Y=0.000)",1,1.25,0.7
121,16112,Oval,"(2,2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
122,16113,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
123,11340,Oval,"(1,1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
124,11341,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
125,18030,Oval,"(0.275,0.275)","(X=0.325,Y=0.325)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
126,18031,Oval,"(0.2,0.2)","(X=0.250,Y=0.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=5.000,Y=5.000)",1,1,1
127,18032,Oval,"(1,1)","(X=10.000,Y=10.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
128,18033,Oval,"(1,1)","(X=5.000,Y=5.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
133,18034,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
134,18035,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
135,18036,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
136,18037,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
137,18038,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
138,18039,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
139,18040,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
140,18041,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
141,18042,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
142,18043,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
147,18044,Oval,"(5,5)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
148,18045,Oval,"(3,3)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
149,18046,Oval,"(0.7,0.7)","(X=0.700,Y=0.700)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
152,18047,Oval,"(0.7,0.7)","(X=0.700,Y=0.700)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
201,18048,Oval,"(0.25,0.25)","(X=0.300,Y=0.300)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
202,18049,Oval,"(0.25,0.25)","(X=0.300,Y=0.300)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
203,18050,Oval,"(0.2,0.2)","(X=0.250,Y=0.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
204,18051,Oval,"(0,0)","(X=0.000,Y=0.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
205,18052,Oval,"(0.225,0.225)","(X=0.260,Y=0.260)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
206,18053,Oval,"(0.25,0.25)","(X=0.300,Y=0.300)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
207,18054,Oval,"(0.2,0.2)","(X=0.250,Y=0.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=5.000,Y=5.000)",1,1,1
208,18055,Oval,"(0.2,0.2)","(X=0.250,Y=0.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
209,18056,Oval,"(0.15,0.15)","(X=0.250,Y=0.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
210,18057,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
211,18058,Oval,"(1.2,1.2)","(X=1.200,Y=1.200)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=1.000,Y=1.000)",1,1.25,0.7
51_0,18059,Oval,"(0.45,0.45)","(X=1.000,Y=1.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
50_0,18060,Oval,"(1.8,1.8)","(X=3.200,Y=3.200)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=3.000,Y=3.000)",1,1.25,0.7
212,18061,Oval,"(0.25,0.25)","(X=0.300,Y=0.300)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
213,18062,Oval,"(0.2,0.2)","(X=0.250,Y=0.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
214,18063,Oval,"(0.25,0.25)","(X=0.300,Y=0.300)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
215,115010,Oval,"(1.2,1.2)","(X=1.500,Y=1.500)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
216,115011,Oval,"(0.1,0.1)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
217,115012,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
217_0,115013,Oval,"(0.2,0.2)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
215_0,115014,Oval,"(0.2,0.2)","(X=1.500,Y=1.500)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
215_1,115015,Oval,"(0.3,0.3)","(X=2.000,Y=2.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
196,11062,Oval,"(0.2,0.2)","(X=4.000,Y=4.000)","(X=4.000,Y=4.000)",True,"(X=50.000,Y=50.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
197,11063,Oval,"(0.2,0.2)","(X=4.000,Y=4.000)","(X=4.000,Y=4.000)",True,"(X=50.000,Y=50.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
198,15320,Oval,"(2,2)","(X=3.500,Y=3.500)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
199,15321,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
200,12032,Oval,"(1.7,1.7)","(X=4.100,Y=4.100)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
218,18064,Oval,"(0.2,0.2)","(X=0.250,Y=0.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
219,18065,Oval,"(0.15,0.15)","(X=0.250,Y=0.250)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=5.000,Y=5.000)",1,1,1
196_0,11012,Oval,"(0.35,0.35)","(X=5.000,Y=5.000)","(X=5.000,Y=5.000)",True,"(X=100.000,Y=100.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
150_0,23022,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
14_0,11190,Oval,"(1.7,1.7)","(X=5.500,Y=5.500)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
15_0,11191,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
56_0,13060,Oval,"(2.5,2.5)","(X=3.800,Y=3.800)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=3.000,Y=3.000)",1,1.25,0.7
57_0,13061,Oval,"(0.5,0.5)","(X=1.000,Y=1.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
56_1,13062,Oval,"(1,1)","(X=2.000,Y=2.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=3.000,Y=3.000)",1,1.25,0.7
57_1,13063,Oval,"(0.2,0.2)","(X=0.400,Y=0.400)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
215_2,115016,Oval,"(5,5)","(X=10.000,Y=10.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
215_3,115017,Oval,"(3,3)","(X=5.000,Y=5.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
172_1,14043,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
172_0,14042,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
20_0,11162,Oval,"(2.6624,2.6624)","(X=6.650,Y=6.650)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
56_2,13064,Oval,"(4,4)","(X=6.000,Y=6.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=3.000,Y=3.000)",1,1.25,0.7
56_3,13065,Oval,"(1.75,1.75)","(X=2.500,Y=2.500)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=3.000,Y=3.000)",1,1.25,0.7
196_1,17042,Oval,"(0.2,0.2)","(X=4.000,Y=4.000)","(X=4.000,Y=4.000)",True,"(X=50.000,Y=50.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
